date,BYR,USD,EUR,KZT,UAH
2021-06,,73.2965,89.3778,0.170912,2.66893
2021-07,,72.7234,86.5118,0.16977799999999998,2.67074
2021-08,,73.1388,86.9913,0.171891,2.7271799999999997
2021-09,,73.2781,86.666,0.17175200000000002,2.72558
2021-10,,72.6642,84.305,0.170653,2.7288699999999997
2021-11,,70.52,82.2898,0.16494,2.68152
2021-12,,74.8926,84.8234,0.170443,2.74319
2022-01,,74.2926,84.0695,0.16899999999999998,2.7258400000000003
2022-02,,77.4702,86.5032,0.178379,2.71136
2022-03,,93.5589,104.4772,0.188393,3.10053
2022-04,,83.4097,92.493,0.177349,
2022-05,,71.0237,74.5589,0.158362,
2022-06,,61.6069,62.7397,0.144147,2.0778
2022-07,,52.5123,54.6405,0.11291000000000001,
